preferredName_A,preferredName_B,score
KRAS,RB1,0.433
KRAS,APC,0.611
KRAS,TERT,0.659
KRAS,BRCA1,0.721
KRAS,MYC,0.872
KRAS,AKT1,0.904
KRAS,PTEN,0.936
KRAS,TP53,0.949
KRAS,CDKN2A,0.992
KRAS,NF1,0.996
KRAS,EGFR,0.997
KRAS,PIK3CA,0.998
APC,EGFR,0.418
APC,AKT1,0.472
APC,PTEN,0.478
APC,PIK3CA,0.489
APC,TP53,0.61
APC,MYC,0.613
PIK3CA,RB1,0.478
PIK3CA,TERT,0.675
PIK3CA,BRCA1,0.728
PIK3CA,MYC,0.74
PIK3CA,CDKN2A,0.791
PIK3CA,NF1,0.793
PIK3CA,TP53,0.941
PIK3CA,PTEN,0.995
PIK3CA,AKT1,0.998
PIK3CA,EGFR,0.999
RB1,TERT,0.458
RB1,EGFR,0.52
RB1,AKT1,0.586
RB1,PTEN,0.734
RB1,CDKN2A,0.843
RB1,BRCA1,0.858
RB1,MYC,0.888
RB1,TP53,0.936
TP53,NF1,0.88
TP53,TERT,0.902
TP53,EGFR,0.943
TP53,AKT1,0.994
TP53,MYC,0.997
TP53,BRCA1,0.999
TP53,CDKN2A,0.999
TP53,PTEN,0.999
EGFR,COL18A1,0.64
EGFR,TERT,0.697
EGFR,AKT1,0.792
EGFR,BRCA1,0.8
EGFR,NF1,0.847
EGFR,MYC,0.875
EGFR,CDKN2A,0.91
EGFR,PTEN,0.969
TERT,BRCA1,0.646
TERT,NF1,0.665
TERT,CDKN2A,0.817
TERT,PTEN,0.822
TERT,AKT1,0.903
TERT,MYC,0.92
NF1,MYC,0.643
NF1,CDKN2A,0.772
NF1,AKT1,0.803
NF1,PTEN,0.874
NF1,BRCA1,0.876
COL18A1,MYC,0.407
COL18A1,AKT1,0.466
PTEN,BRCA1,0.821
PTEN,MYC,0.908
PTEN,CDKN2A,0.923
PTEN,AKT1,0.988
CDKN2A,BRCA1,0.832
CDKN2A,AKT1,0.866
CDKN2A,MYC,0.998
BRCA1,AKT1,0.993
BRCA1,MYC,0.999
AKT1,MYC,0.928
