Transcript_ID	Total_Exon_Length
NR_176326.1	2399
NM_001276761.3	2509
NM_001126112.3	2509
NM_001407269.1	2642
NM_001407268.1	2642
NM_000546.6	2512
NM_001276760.3	2512
NM_001276695.3	2572
NM_001126113.3	2572
NM_001276696.3	2645
NM_001126114.3	2645
NM_001126118.2	2629
NM_001407262.1	2615
NM_001407263.1	2615
NM_001407265.1	2522
NM_001407264.1	2522
NM_001407266.1	2525
NM_001407267.1	2525
NM_001407270.1	2658
NM_001407271.1	2658
NM_001276697.3	2003
NM_001126115.2	2003
NM_001276699.3	2063
NM_001126117.2	2063
NM_001276698.3	2136
NM_001126116.2	2136
